25,46,48,23,39,47,4644,1328,321,20,3,1,38912,748
24,45,47,22,38,46,4644,1328,321,20,3,1,38912,742
23,44,46,21,38,45,4665,1328,321,20,3,1,38912,758
23,44,46,21,38,45,4665,1328,321,20,3,1,38912,758
23,44,46,21,38,45,4665,1328,321,20,3,1,38912,758
23,42,44,21,37,44,4581,1300,307,17,3,1,38912,878
23,42,44,21,37,44,4581,1300,307,17,3,1,38912,878
23,42,44,21,37,44,4581,1300,307,17,3,1,38912,878
23,41,43,21,36,43,4398,1265,289,15,3,1,38912,891
23,41,43,21,36,43,4398,1265,289,15,3,1,38912,891
23,41,43,21,36,43,4398,1265,289,15,3,1,38912,891
22,40,42,21,35,42,4302,1242,287,16,3,1,38912,1021
22,40,42,21,35,42,4302,1242,287,16,3,1,38912,1021
22,40,42,21,35,42,4302,1242,287,16,3,1,38912,1021
22,39,40,21,35,40,4242,1231,271,11,2,1,38912,923
23,40,41,22,36,41,4242,1231,271,11,2,1,38912,929
23,40,41,22,36,41,4242,1231,271,11,2,1,38912,929
23,39,41,22,35,41,4272,1233,256,13,3,1,38912,947
23,39,41,22,35,41,4272,1233,256,13,3,1,38912,947
23,39,41,22,35,41,4272,1233,256,13,3,1,38912,947
23,39,41,22,35,41,4278,1240,256,9,4,1,38912,957
23,39,41,22,35,41,4278,1240,256,9,4,1,38912,957
22,38,40,21,34,40,4278,1240,256,9,4,1,38912,951
22,37,39,21,34,39,4236,1223,249,8,3,0,38912,1134
22,37,39,21,34,39,4236,1223,249,8,3,0,38912,1134
22,37,39,21,34,39,4236,1223,249,8,3,0,38912,1134
22,37,41,21,34,41,4299,1232,249,10,6,1,38912,1216
22,37,41,21,34,41,4299,1232,249,10,6,1,38912,1216
22,37,41,21,34,41,4299,1232,249,10,6,1,38912,1216
23,39,44,21,35,44,4398,1272,268,16,7,1,38912,881
23,39,44,21,35,44,4398,1272,268,16,7,1,38912,881
23,39,44,21,35,44,4398,1272,268,16,7,1,38912,881
23,40,45,21,35,44,4392,1271,265,18,7,2,38912,876
23,40,45,21,35,44,4392,1271,265,18,7,2,38912,876
23,40,45,21,35,44,4392,1271,265,18,7,2,38912,876
23,40,45,21,35,44,4383,1271,272,19,7,2,38912,875
23,40,45,21,35,44,4383,1271,272,19,7,2,38912,875
23,40,45,21,35,44,4383,1271,272,19,7,2,38912,875
23,40,45,21,35,44,4464,1287,272,18,7,2,38912,716
24,41,46,22,36,45,4464,1287,272,18,7,2,38912,722
24,41,46,22,36,45,4464,1287,272,18,7,2,38912,722
24,41,46,22,36,45,4458,1278,275,18,7,2,38912,965
24,41,46,22,36,45,4458,1278,275,18,7,2,38912,965
24,41,46,22,36,45,4458,1278,275,18,7,2,38912,965
24,41,46,22,36,45,4443,1277,277,18,7,2,38912,951
