35,57,59,28,44,53,5865,1725,392,14,3,0,38912,1203
36,59,61,28,45,55,5928,1772,406,16,3,0,38912,1082
35,59,61,27,45,54,6000,1799,427,17,3,0,38912,945
35,58,61,27,44,54,5970,1781,415,18,3,0,38912,1139
35,58,60,27,44,54,6096,1800,416,18,3,0,38912,1029
35,59,61,27,45,54,6183,1815,406,21,3,0,38912,872
34,58,58,27,44,52,6027,1767,410,15,0,0,38912,1165
34,58,58,27,44,52,6027,1767,410,15,0,0,38912,1165
35,59,59,28,45,53,6027,1767,410,15,0,0,38912,1171
35,58,58,28,45,53,5907,1730,403,15,0,0,38912,1005
35,58,58,28,45,53,5907,1730,403,15,0,0,38912,1005
34,57,57,27,44,52,5907,1730,403,15,0,0,38912,999
34,57,57,27,44,52,5958,1744,392,11,0,0,38912,1049
34,57,57,27,44,52,5958,1744,392,11,0,0,38912,1049
35,58,58,28,45,53,5958,1744,392,11,0,0,38912,1055
34,58,59,28,45,53,5901,1728,401,12,1,0,38912,993
34,58,59,28,45,53,5901,1728,401,12,1,0,38912,993
34,58,59,28,45,53,5901,1728,401,12,1,0,38912,993
33,56,57,27,43,52,5838,1705,389,10,1,0,38912,1139
33,56,57,27,43,52,5838,1705,389,10,1,0,38912,1139
33,56,57,27,43,52,5838,1705,389,10,1,0,38912,1139
33,56,57,27,44,52,5664,1657,375,14,2,0,38912,909
33,57,59,27,44,53,5814,1699,385,18,3,0,38912,1120
33,58,60,27,45,54,5679,1669,380,18,3,0,38912,954
33,57,59,27,44,53,5691,1685,378,16,3,0,38912,974
33,57,58,27,44,53,5670,1682,371,16,3,0,38912,942
32,56,58,27,44,53,5598,1656,354,17,3,0,38912,1081
33,57,59,27,44,53,5631,1668,364,16,3,0,38912,1138
32,56,58,26,43,52,5580,1668,364,20,3,0,38912,1085
32,57,58,26,44,52,5649,1692,360,22,2,0,38912,922
32,57,59,26,44,53,5640,1692,369,26,3,0,38912,929
35,59,61,28,45,55,5784,1731,375,22,3,0,38912,1126
34,59,62,28,45,55,5700,1715,396,22,5,0,38912,1049
35,60,63,28,46,56,5844,1754,403,24,5,0,38912,1246
34,59,62,27,45,55,5844,1754,403,24,5,0,38912,1240
34,59,62,27,45,55,5844,1754,403,24,5,0,38912,1240
33,59,62,27,45,55,5796,1738,408,24,6,1,38912,1182
34,60,63,27,45,55,5940,1785,418,25,6,1,38912,1132
35,61,64,28,46,56,5919,1783,425,27,6,1,38912,1124
36,61,65,28,46,57,6063,1809,423,27,6,1,38912,1040
36,61,65,28,46,57,6063,1804,430,23,7,2,38912,1040
36,63,67,28,47,58,6171,1844,444,26,8,2,38912,957
35,62,67,28,46,58,6096,1809,442,26,8,3,38912,1098
35,61,66,28,46,57,6084,1809,436,26,8,3,38912,1077
34,59,63,27,45,55,5991,1771,420,24,5,3,38912,1170
33,57,61,27,44,54,5793,1701,404,24,5,3,38912,1134
33,57,60,27,44,54,5778,1698,392,24,5,2,38912,1102
33,57,60,27,44,54,5748,1675,380,24,5,2,38912,1037
34,58,62,28,45,55,5814,1693,385,24,6,2,38912,1134
34,58,62,28,45,55,5814,1693,385,24,6,2,38912,1134
34,58,62,28,45,55,5814,1693,385,24,6,2,38912,1134
